                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     81,                 1.2547,                 1.6955,                 1.6573,                0.27936,                0.19157,                0.13832,                0.05628,                 2.1718,                 2.8825,                 1.8742,                0.00024,                0.00024,                0.00024
                     82,                  1.262,                 1.6429,                 1.6513,                0.30225,                0.18735,                0.15797,                0.07085,                 2.1423,                  2.841,                 1.8189,               0.000218,               0.000218,               0.000218
                     83,                 1.2383,                 1.5986,                 1.6342,                0.28712,                0.19157,                 0.1508,                0.06352,                 2.1538,                 2.7834,                 1.8492,               0.000196,               0.000196,               0.000196
                     84,                 1.1925,                 1.5702,                 1.6107,                0.27855,                0.20843,                0.15318,                0.06558,                 2.1671,                 2.8199,                 1.8534,               0.000174,               0.000174,               0.000174
                     85,                 1.1979,                 1.5433,                 1.6155,                0.28125,                0.21325,                0.15959,                0.06811,                 2.1458,                 2.7579,                 1.8562,               0.000152,               0.000152,               0.000152
                     86,                 1.1904,                 1.5369,                 1.6029,                0.28305,                0.22048,                0.16747,                0.07135,                 2.1362,                 2.7618,                 1.8359,                0.00013,                0.00013,                0.00013
                     87,                 1.1658,                 1.5134,                 1.5775,                0.29884,                0.23434,                0.17659,                0.07608,                 2.1282,                 2.7087,                 1.8396,               0.000108,               0.000108,               0.000108
                     88,                 1.1782,                 1.4782,                 1.5758,                0.29581,                0.22349,                0.17513,                0.07489,                 2.1471,                 2.7279,                 1.8441,                8.6e-05,                8.6e-05,                8.6e-05
                     89,                 1.1742,                 1.5027,                  1.594,                0.29804,                0.23072,                0.17574,                0.07681,                 2.1461,                 2.7318,                 1.8492,                6.4e-05,                6.4e-05,                6.4e-05
                     90,                 1.1716,                  1.484,                 1.5765,                0.30216,                0.23675,                0.17309,                0.07559,                 2.1495,                 2.7199,                 1.8559,                4.2e-05,                4.2e-05,                4.2e-05
